Complaint_Text,Time,Location,Keywords,Previous_History,Incident_Type
Vehicle theft outside office,Morning,Office,vehicle theft outside,Yes,Theft
Someone stole my mobile phone in the market,Evening,Highway,someone stole my,Yes,Theft
Vehicle theft outside office,Afternoon,Office,vehicle theft outside,No,Theft
Vehicle theft outside office,Afternoon,Bank,vehicle theft outside,Yes,Theft
House burglary reported last night,Night,Office,house burglary reported,Yes,Theft
My bike was stolen from the parking area,Night,Office,my bike was,Yes,Theft
My bike was stolen from the parking area,Evening,Residential,my bike was,No,Theft
Someone stole my mobile phone in the market,Night,Railway Station,someone stole my,Yes,Theft
My bike was stolen from the parking area,Morning,Residential,my bike was,Yes,Theft
House burglary reported last night,Afternoon,Railway Station,house burglary reported,Yes,Theft
My bike was stolen from the parking area,Evening,Bank,my bike was,Yes,Theft
House burglary reported last night,Afternoon,School,house burglary reported,Yes,Theft
House burglary reported last night,Night,Residential,house burglary reported,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Railway Station,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Evening,Railway Station,someone stole my,Yes,Theft
House burglary reported last night,Afternoon,Highway,house burglary reported,No,Theft
My bike was stolen from the parking area,Night,School,my bike was,Yes,Theft
Wallet stolen near bus stand,Evening,Office,wallet stolen near,Yes,Theft
Someone stole my mobile phone in the market,Morning,School,someone stole my,No,Theft
House burglary reported last night,Evening,Highway,house burglary reported,No,Theft
House burglary reported last night,Night,Bank,house burglary reported,Yes,Theft
My bike was stolen from the parking area,Evening,Residential,my bike was,No,Theft
My bike was stolen from the parking area,Morning,Railway Station,my bike was,No,Theft
House burglary reported last night,Night,Highway,house burglary reported,No,Theft
Vehicle theft outside office,Afternoon,Office,vehicle theft outside,Yes,Theft
Wallet stolen near bus stand,Morning,School,wallet stolen near,No,Theft
Wallet stolen near bus stand,Morning,Bank,wallet stolen near,No,Theft
My bike was stolen from the parking area,Evening,Office,my bike was,No,Theft
House burglary reported last night,Night,Office,house burglary reported,Yes,Theft
Someone stole my mobile phone in the market,Night,Railway Station,someone stole my,Yes,Theft
Vehicle theft outside office,Evening,Railway Station,vehicle theft outside,Yes,Theft
House burglary reported last night,Evening,School,house burglary reported,No,Theft
Vehicle theft outside office,Evening,Hospital,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Afternoon,Hospital,wallet stolen near,Yes,Theft
My bike was stolen from the parking area,Evening,Bank,my bike was,Yes,Theft
Someone stole my mobile phone in the market,Evening,School,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Morning,Market,someone stole my,Yes,Theft
Wallet stolen near bus stand,Morning,Hospital,wallet stolen near,No,Theft
Vehicle theft outside office,Afternoon,Railway Station,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Afternoon,Residential,wallet stolen near,Yes,Theft
My bike was stolen from the parking area,Night,School,my bike was,Yes,Theft
Vehicle theft outside office,Night,Market,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Night,Residential,my bike was,No,Theft
Vehicle theft outside office,Evening,Hospital,vehicle theft outside,No,Theft
Vehicle theft outside office,Night,Residential,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Evening,School,wallet stolen near,No,Theft
Vehicle theft outside office,Night,School,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Morning,Office,wallet stolen near,Yes,Theft
House burglary reported last night,Evening,Bank,house burglary reported,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,School,someone stole my,No,Theft
Someone stole my mobile phone in the market,Afternoon,Highway,someone stole my,No,Theft
Wallet stolen near bus stand,Evening,Hospital,wallet stolen near,No,Theft
My bike was stolen from the parking area,Afternoon,Railway Station,my bike was,No,Theft
Vehicle theft outside office,Morning,Railway Station,vehicle theft outside,No,Theft
My bike was stolen from the parking area,Evening,Office,my bike was,No,Theft
Wallet stolen near bus stand,Afternoon,Hospital,wallet stolen near,Yes,Theft
House burglary reported last night,Night,Hospital,house burglary reported,Yes,Theft
Wallet stolen near bus stand,Evening,Railway Station,wallet stolen near,Yes,Theft
Wallet stolen near bus stand,Afternoon,Market,wallet stolen near,No,Theft
Vehicle theft outside office,Morning,Highway,vehicle theft outside,No,Theft
Someone stole my mobile phone in the market,Night,Residential,someone stole my,Yes,Theft
House burglary reported last night,Night,Bank,house burglary reported,Yes,Theft
Wallet stolen near bus stand,Evening,Bank,wallet stolen near,No,Theft
House burglary reported last night,Night,Office,house burglary reported,Yes,Theft
Wallet stolen near bus stand,Morning,Market,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Morning,Market,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Market,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Hospital,someone stole my,Yes,Theft
Vehicle theft outside office,Afternoon,Hospital,vehicle theft outside,No,Theft
House burglary reported last night,Afternoon,Highway,house burglary reported,Yes,Theft
House burglary reported last night,Morning,Market,house burglary reported,No,Theft
Vehicle theft outside office,Night,Railway Station,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Afternoon,Highway,my bike was,No,Theft
Vehicle theft outside office,Morning,Market,vehicle theft outside,No,Theft
Vehicle theft outside office,Night,Bank,vehicle theft outside,Yes,Theft
Vehicle theft outside office,Evening,Market,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Morning,Railway Station,wallet stolen near,No,Theft
Wallet stolen near bus stand,Afternoon,Railway Station,wallet stolen near,Yes,Theft
Vehicle theft outside office,Evening,Hospital,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Evening,Bank,wallet stolen near,Yes,Theft
My bike was stolen from the parking area,Evening,Hospital,my bike was,Yes,Theft
Wallet stolen near bus stand,Night,Bank,wallet stolen near,Yes,Theft
Wallet stolen near bus stand,Evening,Residential,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Evening,Office,someone stole my,No,Theft
House burglary reported last night,Evening,Market,house burglary reported,Yes,Theft
My bike was stolen from the parking area,Afternoon,Railway Station,my bike was,No,Theft
Vehicle theft outside office,Afternoon,Hospital,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Morning,Highway,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Night,School,someone stole my,No,Theft
Vehicle theft outside office,Evening,Hospital,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Evening,Bank,wallet stolen near,No,Theft
House burglary reported last night,Evening,Office,house burglary reported,Yes,Theft
My bike was stolen from the parking area,Afternoon,Bank,my bike was,Yes,Theft
Vehicle theft outside office,Afternoon,School,vehicle theft outside,Yes,Theft
Wallet stolen near bus stand,Evening,Office,wallet stolen near,Yes,Theft
Someone stole my mobile phone in the market,Evening,School,someone stole my,No,Theft
Someone stole my mobile phone in the market,Evening,Market,someone stole my,Yes,Theft
House burglary reported last night,Morning,Market,house burglary reported,No,Theft
Someone stole my mobile phone in the market,Night,Highway,someone stole my,Yes,Theft
Vehicle theft outside office,Evening,Hospital,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Evening,Residential,wallet stolen near,Yes,Theft
House burglary reported last night,Night,Highway,house burglary reported,Yes,Theft
Wallet stolen near bus stand,Night,Highway,wallet stolen near,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Office,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Morning,Railway Station,someone stole my,Yes,Theft
Vehicle theft outside office,Night,Hospital,vehicle theft outside,No,Theft
House burglary reported last night,Night,Office,house burglary reported,Yes,Theft
Vehicle theft outside office,Morning,School,vehicle theft outside,Yes,Theft
House burglary reported last night,Morning,Residential,house burglary reported,Yes,Theft
Someone stole my mobile phone in the market,Morning,Residential,someone stole my,Yes,Theft
Wallet stolen near bus stand,Night,Hospital,wallet stolen near,No,Theft
My bike was stolen from the parking area,Afternoon,Office,my bike was,No,Theft
Wallet stolen near bus stand,Morning,School,wallet stolen near,No,Theft
Vehicle theft outside office,Afternoon,Railway Station,vehicle theft outside,Yes,Theft
Vehicle theft outside office,Afternoon,Residential,vehicle theft outside,No,Theft
Someone stole my mobile phone in the market,Morning,Market,someone stole my,Yes,Theft
House burglary reported last night,Evening,Hospital,house burglary reported,Yes,Theft
Wallet stolen near bus stand,Evening,Railway Station,wallet stolen near,No,Theft
Vehicle theft outside office,Night,Hospital,vehicle theft outside,Yes,Theft
Vehicle theft outside office,Morning,Railway Station,vehicle theft outside,No,Theft
Vehicle theft outside office,Evening,Market,vehicle theft outside,Yes,Theft
Someone stole my mobile phone in the market,Morning,Office,someone stole my,Yes,Theft
Someone stole my mobile phone in the market,Night,Hospital,someone stole my,No,Theft
Someone stole my mobile phone in the market,Night,Hospital,someone stole my,Yes,Theft
Wallet stolen near bus stand,Evening,Railway Station,wallet stolen near,No,Theft
House burglary reported last night,Morning,Residential,house burglary reported,No,Theft
Wallet stolen near bus stand,Night,Office,wallet stolen near,No,Theft
Vehicle theft outside office,Morning,Hospital,vehicle theft outside,Yes,Theft
House burglary reported last night,Evening,Bank,house burglary reported,Yes,Theft
Violent attack near school,Morning,Hospital,violent attack near,No,Assault
A person attacked another with a stick,Afternoon,Bank,a person attacked,No,Assault
Violent attack near school,Morning,School,violent attack near,No,Assault
Man beaten by unknown people,Afternoon,Office,man beaten by,No,Assault
Violent attack near school,Morning,Market,violent attack near,Yes,Assault
Physical fight in the market,Evening,Market,physical fight in,No,Assault
A person attacked another with a stick,Afternoon,Highway,a person attacked,No,Assault
A person attacked another with a stick,Afternoon,Hospital,a person attacked,No,Assault
Man beaten by unknown people,Evening,Railway Station,man beaten by,No,Assault
Violent attack near school,Afternoon,Hospital,violent attack near,Yes,Assault
Violent attack near school,Afternoon,Residential,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Night,Bank,someone assaulted a,No,Assault
A person attacked another with a stick,Evening,Office,a person attacked,No,Assault
Physical fight in the market,Night,Hospital,physical fight in,No,Assault
Someone assaulted a pedestrian,Night,Hospital,someone assaulted a,No,Assault
Physical fight in the market,Afternoon,Railway Station,physical fight in,Yes,Assault
Violent attack near school,Morning,Bank,violent attack near,No,Assault
Violent attack near school,Night,Residential,violent attack near,No,Assault
A person attacked another with a stick,Afternoon,Bank,a person attacked,Yes,Assault
Violent attack near school,Morning,Hospital,violent attack near,Yes,Assault
Physical fight in the market,Night,Residential,physical fight in,Yes,Assault
Violent attack near school,Evening,Bank,violent attack near,No,Assault
A person attacked another with a stick,Evening,Railway Station,a person attacked,No,Assault
Violent attack near school,Morning,Highway,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Highway,someone assaulted a,No,Assault
A person attacked another with a stick,Morning,Hospital,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Morning,Market,someone assaulted a,No,Assault
A person attacked another with a stick,Evening,Bank,a person attacked,No,Assault
Violent attack near school,Afternoon,School,violent attack near,No,Assault
Man beaten by unknown people,Afternoon,Residential,man beaten by,Yes,Assault
A person attacked another with a stick,Night,School,a person attacked,No,Assault
Man beaten by unknown people,Afternoon,School,man beaten by,No,Assault
Someone assaulted a pedestrian,Night,Office,someone assaulted a,Yes,Assault
Violent attack near school,Evening,Residential,violent attack near,Yes,Assault
Violent attack near school,Evening,Office,violent attack near,No,Assault
Someone assaulted a pedestrian,Night,Office,someone assaulted a,Yes,Assault
Violent attack near school,Night,Highway,violent attack near,Yes,Assault
Violent attack near school,Evening,Office,violent attack near,No,Assault
A person attacked another with a stick,Night,Office,a person attacked,Yes,Assault
Man beaten by unknown people,Morning,Hospital,man beaten by,No,Assault
Physical fight in the market,Evening,School,physical fight in,Yes,Assault
Man beaten by unknown people,Evening,Residential,man beaten by,Yes,Assault
A person attacked another with a stick,Evening,Hospital,a person attacked,Yes,Assault
Man beaten by unknown people,Evening,Residential,man beaten by,Yes,Assault
Someone assaulted a pedestrian,Evening,Railway Station,someone assaulted a,Yes,Assault
Physical fight in the market,Afternoon,Bank,physical fight in,No,Assault
Physical fight in the market,Evening,Hospital,physical fight in,No,Assault
Someone assaulted a pedestrian,Morning,Hospital,someone assaulted a,Yes,Assault
Physical fight in the market,Afternoon,Railway Station,physical fight in,No,Assault
A person attacked another with a stick,Night,Market,a person attacked,No,Assault
Man beaten by unknown people,Morning,Hospital,man beaten by,No,Assault
Someone assaulted a pedestrian,Night,Bank,someone assaulted a,Yes,Assault
Physical fight in the market,Night,Market,physical fight in,No,Assault
Man beaten by unknown people,Afternoon,Highway,man beaten by,No,Assault
Someone assaulted a pedestrian,Night,Highway,someone assaulted a,Yes,Assault
A person attacked another with a stick,Morning,Office,a person attacked,No,Assault
A person attacked another with a stick,Morning,School,a person attacked,Yes,Assault
Violent attack near school,Night,Bank,violent attack near,No,Assault
Man beaten by unknown people,Afternoon,Railway Station,man beaten by,Yes,Assault
Violent attack near school,Night,Office,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Hospital,someone assaulted a,No,Assault
Physical fight in the market,Evening,Highway,physical fight in,No,Assault
Man beaten by unknown people,Evening,Market,man beaten by,No,Assault
Someone assaulted a pedestrian,Afternoon,Highway,someone assaulted a,No,Assault
A person attacked another with a stick,Afternoon,Market,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Residential,someone assaulted a,Yes,Assault
A person attacked another with a stick,Afternoon,School,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Market,someone assaulted a,No,Assault
Physical fight in the market,Afternoon,Office,physical fight in,Yes,Assault
A person attacked another with a stick,Morning,Residential,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Bank,someone assaulted a,Yes,Assault
Physical fight in the market,Evening,Market,physical fight in,Yes,Assault
Violent attack near school,Morning,Highway,violent attack near,No,Assault
Violent attack near school,Evening,Highway,violent attack near,No,Assault
Man beaten by unknown people,Afternoon,Market,man beaten by,No,Assault
Violent attack near school,Morning,Market,violent attack near,No,Assault
Violent attack near school,Night,Highway,violent attack near,No,Assault
Violent attack near school,Morning,Highway,violent attack near,No,Assault
Man beaten by unknown people,Afternoon,Highway,man beaten by,Yes,Assault
Someone assaulted a pedestrian,Evening,Railway Station,someone assaulted a,No,Assault
Violent attack near school,Night,Highway,violent attack near,Yes,Assault
Man beaten by unknown people,Afternoon,Railway Station,man beaten by,No,Assault
Physical fight in the market,Night,Bank,physical fight in,No,Assault
Violent attack near school,Night,Highway,violent attack near,No,Assault
Violent attack near school,Evening,Office,violent attack near,No,Assault
Physical fight in the market,Night,Highway,physical fight in,Yes,Assault
A person attacked another with a stick,Morning,Railway Station,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Market,someone assaulted a,No,Assault
A person attacked another with a stick,Night,Bank,a person attacked,No,Assault
A person attacked another with a stick,Evening,Office,a person attacked,No,Assault
A person attacked another with a stick,Afternoon,Residential,a person attacked,No,Assault
Physical fight in the market,Morning,Bank,physical fight in,No,Assault
A person attacked another with a stick,Evening,School,a person attacked,No,Assault
Man beaten by unknown people,Morning,Office,man beaten by,Yes,Assault
Physical fight in the market,Evening,Office,physical fight in,No,Assault
Someone assaulted a pedestrian,Morning,Residential,someone assaulted a,Yes,Assault
Man beaten by unknown people,Night,Highway,man beaten by,Yes,Assault
A person attacked another with a stick,Morning,School,a person attacked,No,Assault
Violent attack near school,Night,Bank,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Evening,Bank,someone assaulted a,Yes,Assault
A person attacked another with a stick,Afternoon,Residential,a person attacked,Yes,Assault
A person attacked another with a stick,Evening,Hospital,a person attacked,No,Assault
Violent attack near school,Night,Railway Station,violent attack near,No,Assault
Physical fight in the market,Morning,Bank,physical fight in,No,Assault
A person attacked another with a stick,Evening,Hospital,a person attacked,No,Assault
A person attacked another with a stick,Afternoon,Railway Station,a person attacked,Yes,Assault
A person attacked another with a stick,Afternoon,Office,a person attacked,Yes,Assault
Physical fight in the market,Evening,Office,physical fight in,No,Assault
A person attacked another with a stick,Morning,Hospital,a person attacked,No,Assault
Physical fight in the market,Afternoon,Railway Station,physical fight in,Yes,Assault
Man beaten by unknown people,Evening,Highway,man beaten by,No,Assault
A person attacked another with a stick,Night,Market,a person attacked,No,Assault
A person attacked another with a stick,Evening,Railway Station,a person attacked,No,Assault
Violent attack near school,Evening,Highway,violent attack near,No,Assault
A person attacked another with a stick,Evening,Residential,a person attacked,No,Assault
Someone assaulted a pedestrian,Morning,Railway Station,someone assaulted a,Yes,Assault
Physical fight in the market,Night,Railway Station,physical fight in,Yes,Assault
Violent attack near school,Evening,Bank,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Highway,someone assaulted a,Yes,Assault
Man beaten by unknown people,Afternoon,Bank,man beaten by,No,Assault
Physical fight in the market,Afternoon,Highway,physical fight in,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Residential,someone assaulted a,Yes,Assault
A person attacked another with a stick,Afternoon,Hospital,a person attacked,No,Assault
Man beaten by unknown people,Night,Bank,man beaten by,No,Assault
Physical fight in the market,Night,Highway,physical fight in,No,Assault
Violent attack near school,Evening,Office,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Morning,Office,someone assaulted a,No,Assault
Violent attack near school,Morning,Market,violent attack near,No,Assault
Someone assaulted a pedestrian,Morning,Highway,someone assaulted a,No,Assault
Violent attack near school,Morning,Hospital,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Night,Residential,someone assaulted a,Yes,Assault
Violent attack near school,Morning,Bank,violent attack near,Yes,Assault
Man beaten by unknown people,Afternoon,Market,man beaten by,Yes,Assault
Violent attack near school,Night,Residential,violent attack near,No,Assault
Someone assaulted a pedestrian,Evening,Railway Station,someone assaulted a,No,Assault
Someone assaulted a pedestrian,Morning,Bank,someone assaulted a,Yes,Assault
Someone assaulted a pedestrian,Morning,Railway Station,someone assaulted a,No,Assault
Someone assaulted a pedestrian,Afternoon,Bank,someone assaulted a,Yes,Assault
Man beaten by unknown people,Afternoon,Bank,man beaten by,No,Assault
Violent attack near school,Afternoon,Highway,violent attack near,No,Assault
Man beaten by unknown people,Night,Bank,man beaten by,Yes,Assault
Man beaten by unknown people,Morning,Railway Station,man beaten by,No,Assault
A person attacked another with a stick,Evening,Office,a person attacked,Yes,Assault
Physical fight in the market,Evening,Hospital,physical fight in,Yes,Assault
Physical fight in the market,Afternoon,Residential,physical fight in,Yes,Assault
Someone assaulted a pedestrian,Morning,Market,someone assaulted a,No,Assault
Man beaten by unknown people,Afternoon,Railway Station,man beaten by,Yes,Assault
Physical fight in the market,Afternoon,Residential,physical fight in,No,Assault
A person attacked another with a stick,Night,Bank,a person attacked,Yes,Assault
Violent attack near school,Evening,Hospital,violent attack near,Yes,Assault
Man beaten by unknown people,Afternoon,Office,man beaten by,No,Assault
Physical fight in the market,Evening,Hospital,physical fight in,No,Assault
Someone assaulted a pedestrian,Night,Railway Station,someone assaulted a,Yes,Assault
Physical fight in the market,Afternoon,Office,physical fight in,Yes,Assault
Violent attack near school,Evening,Highway,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Morning,Residential,someone assaulted a,No,Assault
Violent attack near school,Afternoon,Railway Station,violent attack near,Yes,Assault
Physical fight in the market,Night,Bank,physical fight in,Yes,Assault
Violent attack near school,Morning,Railway Station,violent attack near,No,Assault
Physical fight in the market,Night,Highway,physical fight in,No,Assault
Physical fight in the market,Morning,Bank,physical fight in,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Residential,someone assaulted a,Yes,Assault
Someone assaulted a pedestrian,Night,Residential,someone assaulted a,No,Assault
Violent attack near school,Morning,Highway,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Afternoon,Residential,someone assaulted a,No,Assault
A person attacked another with a stick,Evening,School,a person attacked,No,Assault
A person attacked another with a stick,Morning,School,a person attacked,No,Assault
Man beaten by unknown people,Night,Highway,man beaten by,Yes,Assault
Violent attack near school,Morning,School,violent attack near,Yes,Assault
Someone assaulted a pedestrian,Night,Market,someone assaulted a,No,Assault
Physical fight in the market,Night,Residential,physical fight in,Yes,Assault
Man beaten by unknown people,Evening,Highway,man beaten by,Yes,Assault
Violent attack near school,Night,Market,violent attack near,No,Assault
Someone assaulted a pedestrian,Evening,Market,someone assaulted a,No,Assault
A person attacked another with a stick,Evening,School,a person attacked,Yes,Assault
Man beaten by unknown people,Evening,Residential,man beaten by,Yes,Assault
Someone assaulted a pedestrian,Evening,Residential,someone assaulted a,No,Assault
Violent attack near school,Afternoon,Residential,violent attack near,Yes,Assault
Violent attack near school,Morning,Office,violent attack near,Yes,Assault
A person attacked another with a stick,Afternoon,Market,a person attacked,No,Assault
Someone assaulted a pedestrian,Night,Hospital,someone assaulted a,No,Assault
A person attacked another with a stick,Afternoon,Office,a person attacked,No,Assault
A person attacked another with a stick,Evening,Office,a person attacked,Yes,Assault
Someone assaulted a pedestrian,Night,Railway Station,someone assaulted a,No,Assault
Violent attack near school,Evening,Residential,violent attack near,No,Assault
Violent attack near school,Evening,Office,violent attack near,Yes,Assault
Violent attack near school,Morning,Railway Station,violent attack near,Yes,Assault
Man beaten by unknown people,Evening,Bank,man beaten by,Yes,Assault
A person attacked another with a stick,Evening,Office,a person attacked,No,Assault
Violent attack near school,Night,Residential,violent attack near,No,Assault
Someone assaulted a pedestrian,Night,Market,someone assaulted a,No,Assault
Man beaten by unknown people,Night,Office,man beaten by,Yes,Assault
A person attacked another with a stick,Night,Bank,a person attacked,Yes,Assault
A person attacked another with a stick,Afternoon,Hospital,a person attacked,Yes,Assault
Physical fight in the market,Morning,School,physical fight in,No,Assault
Someone assaulted a pedestrian,Night,Market,someone assaulted a,Yes,Assault
Violent attack near school,Evening,Bank,violent attack near,No,Assault
A person attacked another with a stick,Afternoon,Bank,a person attacked,No,Assault
Someone assaulted a pedestrian,Evening,School,someone assaulted a,Yes,Assault
A person attacked another with a stick,Afternoon,Hospital,a person attacked,No,Assault
Credit card scam reported,Morning,Office,credit card scam,No,Cyber Crime
Instagram account hacked,Afternoon,Office,instagram account hacked,No,Cyber Crime
Received phishing email asking OTP,Morning,Residential,received phishing email,Yes,Cyber Crime
Instagram account hacked,Afternoon,Hospital,instagram account hacked,Yes,Cyber Crime
Online fraud through UPI,Evening,Highway,online fraud through,No,Cyber Crime
Online fraud through UPI,Afternoon,Residential,online fraud through,No,Cyber Crime
Credit card scam reported,Afternoon,Highway,credit card scam,Yes,Cyber Crime
Received phishing email asking OTP,Afternoon,Hospital,received phishing email,Yes,Cyber Crime
Online fraud through UPI,Evening,Hospital,online fraud through,Yes,Cyber Crime
Credit card scam reported,Morning,Highway,credit card scam,No,Cyber Crime
Instagram account hacked,Night,Railway Station,instagram account hacked,No,Cyber Crime
Credit card scam reported,Morning,Residential,credit card scam,No,Cyber Crime
My bank account was hacked,Night,Hospital,my bank account,No,Cyber Crime
Received phishing email asking OTP,Afternoon,Residential,received phishing email,No,Cyber Crime
Credit card scam reported,Morning,Highway,credit card scam,Yes,Cyber Crime
Online fraud through UPI,Afternoon,Residential,online fraud through,No,Cyber Crime
